popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_genre
44,0.00621,0.711,285987,0.621,0.0297,11,0.159,-7.429,1,0.0382,142.065,0.607,Jazz
34,0.347,0.729,103703,0.515,0.00692,4,0.127,-10.147,1,0.184,79.969,0.287,Jazz
39,0.918,0.484,228733,0.0693,6.92E-05,9,0.139,-15.542,1,0.0346,82.707,0.206,Jazz
36,0.0345,0.473,342867,0.823,0.446,11,0.306,-6.625,1,0.063,104.694,0.383,Jazz
53,0.501,0.921,151733,0.266,0.134,2,0.109,-12.749,0,0.213,123.043,0.761,Jazz
63,0.699,0.58,282000,0.299,0.00386,2,0.0805,-13.03,1,0.0269,93.037,0.364,Jazz
32,0.765,0.696,-1,0.617,0.651,1,0.112,-7.973,0,0.0297,131.924,0.47,Jazz
39,0.495,0.656,269800,0.32,0.0614,3,0.0765,-15.261,0,0.0348,91.368,0.573,Jazz
34,0.125,0.569,151607,0.87,0.893,1,0.397,-4.019,0,0.135,91.002,0.5,Jazz
38,0.000794,0.749,329345,0.659,0.668,12,0.688,-8.881,0,0.0527,93.603,0.321,Jazz
42,0.0788,0.705,208027,0.786,0.938,11,0.19,-7.77,0,0.0315,115.126,0.668,Jazz
42,0.151,0.779,214489,0.742,0.00174,11,0.126,-7.36,1,0.0412,91.035,0.358,Jazz
38,0.472,0.709,236733,0.489,0,8,0.08,-9.15,1,0.0661,81.62,0.629,Jazz
36,0.98,0.509,149067,0.00672,0.00301,12,0.0842,-30.4,1,0.0408,127.161,0.327,Jazz
45,0.0372,0.394,351387,0.631,0.00581,1,0.0817,-6.39,0,0.159,85.553,0.398,Jazz
48,0.00729,0.44,340000,0.809,0.0094,1,0.0949,-8.963,1,0.0836,169.765,0.739,Jazz
46,0.817,0.534,262627,0.0123,2.20E-05,4,0.0822,-26.88,0,0.0646,77.084,0.254,Jazz
41,0.748,0.423,292067,0.251,0.234,4,0.118,-17.635,1,0.0379,90.386,0.182,Jazz
34,0.566,0.57,467760,0.291,0.0283,10,0.0453,-13.953,1,0.0425,106.247,0.423,Jazz
42,0.385,0.395,426173,0.691,0.903,1,0.132,-11.898,0,0.0392,128.879,0.0968,Jazz
41,0.864,0.507,-1,0.566,4.55E-06,6,0.0676,-9.446,1,0.111,86.036,0.706,Jazz
36,0.0699,0.695,180307,0.592,0.829,6,0.162,-7.158,0,0.0333,95.419,0.921,Jazz
47,0.735,0.557,-1,0.488,0.00652,5,0.146,-9.451,1,0.0413,105.001,0.449,Jazz
43,0.489,0.655,99209,0.426,0.000779,7,0.151,-10.86,1,0.0563,156.949,0.361,Jazz
34,0.00251,0.463,307813,0.796,0.778,4,0.593,-4.064,1,0.0525,95.041,0.494,Jazz
45,0.445,0.715,197013,0.662,0,9,0.0813,-5.761,0,0.188,87.904,0.626,Jazz
33,0.525,0.632,277594,0.374,0.916,8,0.0871,-13.772,0,0.0711,179.928,0.631,Jazz
38,0.451,0.584,477547,0.574,0.939,4,0.121,-9.439,0,0.0255,107.02,0.182,Jazz
43,0.507,0.686,170277,0.8,0.000549,5,0.286,-7.279,1,0.216,96.48,0.467,Jazz
39,0.819,0.6,183693,0.278,4.55E-05,2,0.415,-10.712,0,0.0431,95.532,0.671,Jazz
49,0.467,0.605,-1,0.458,5.98E-05,12,0.109,-9.543,1,0.0464,74.911,0.533,Jazz
50,0.925,0.724,-1,0.259,0.000106,3,0.102,-14.834,0,0.0316,119.898,0.42,Jazz
49,0.965,0.42,236280,0.0736,0.00117,5,0.108,-16.387,0,0.0317,100.432,0.0977,Jazz
34,0.369,0.638,264957,0.776,0.754,4,0.0826,-7.686,1,0.0363,129.993,0.447,Jazz
44,0.308,0.698,295867,0.827,0,10,0.0314,-5.506,1,0.0503,88.191,0.639,Jazz
45,0.928,0.236,176973,0.173,0.000623,10,0.239,-13.844,1,0.0319,82.342,0.279,Jazz
32,0.00673,0.185,238960,0.595,0.0669,3,0.107,-9.05,1,0.0557,105.874,0.163,Jazz
43,0.599,0.674,292044,0.355,0.0408,3,0.374,-11.623,0,0.0491,155.995,0.334,Jazz
38,0.978,0.452,64168,0.0785,0.914,1,0.106,-23.385,0,0.0764,201.773,0.588,Jazz
26,0.421,0.62,438905,0.856,0.866,11,0.133,-8.293,0,0.111,111.563,0.579,Jazz
38,0.959,0.398,320200,0.13,0.105,10,0.115,-19.584,0,0.0438,150.174,0.247,Jazz
